LeftShoulder_Time,LeftShoulder_Abduction-Adduction,LeftShoulder_Internal-External Rotat,LeftShoulder_Flexion-Extension,RightKnee_Time,RightKnee_Abduction-Adduction,RightKnee_Internal-External Rotat,RightKnee_Flexion-Extension,RightHip_Time,RightHip_Abduction-Adduction,RightHip_Internal-External Rotat,RightHip_Flexion-Extension,LeftKnee_Time,LeftKnee_Abduction-Adduction,LeftKnee_Internal-External Rotat,LeftKnee_Flexion-Extension,LeftHip_Time,LeftHip_Abduction-Adduction,LeftHip_Internal-External Rotat,LeftHip_Flexion-Extension,LeftAnkle_Time,LeftAnkle_Abduction-Adduction,LeftAnkle_Internal-External Rotat,LeftAnkle_Flexion-Extension,Trunk2Ground_Time,Trunk2Ground_Abduction-Adduction,Trunk2Ground_Internal-External Rotat,Trunk2Ground_Flexion-Extension,Pelvic_Time,Pelvic_Abduction-Adduction,Pelvic_Internal-External Rotat,Pelvic_Flexion-Extension,RightShoulder_Time,RightShoulder_Abduction-Adduction,RightShoulder_Internal-External Rotat,RightShoulder_Flexion-Extension,RightAnkle_Time,RightAnkle_Abduction-Adduction,RightAnkle_Internal-External Rotat,RightAnkle_Flexion-Extension
78905,-2.110077854,10.23398468,3.423338753,78905,0.798900275,-14.08922136,0.503696219,78905,0.737451274,22.06314197,-0.482120081,78905,0.566772984,21.06040789,-0.220231596,78905,-0.65688583,-13.71333888,0.177170732,78905,0.826167533,-14.56533946,0.09327517,78905,2.839373603,-81.93858662,-91.38189928,78905,0.237180227,-15.32084559,2.489203415,78905,0.501723458,-10.53817612,2.733180418,78905,0.461404182,11.69946358,-0.238258535
78911,-2.051537209,10.24821411,3.43112322,78911,0.780222998,-14.0817471,0.500897719,78911,0.741433016,22.06575168,-0.489010148,78911,0.491971733,21.00682206,-0.176901438,78911,-0.634088426,-13.69485869,0.197429108,78911,0.863324228,-14.58316277,0.089257864,78911,2.832322474,-81.94448107,-91.38826095,78911,0.239932732,-15.31541102,2.492493977,78911,0.52594019,-10.52466838,2.722205116,78911,0.447562642,11.69115085,-0.237097362
78917,-2.061584171,10.25626512,3.438108939,78917,0.771668218,-14.08002991,0.496888799,78917,0.745729621,22.06977899,-0.496931265,78917,0.570018978,21.05233096,-0.192208656,78917,-0.619685683,-13.67696863,0.218275637,78917,0.744087804,-14.50460188,0.08728989,78917,2.825293625,-81.95138959,-91.39442322,78917,0.242924136,-15.31000585,2.495858546,78917,0.499495215,-10.54124567,2.704483856,78917,0.441676611,11.68802804,-0.232628906
78923,-2.119324152,10.23053797,3.438280685,78923,0.764873483,-14.07908818,0.492654515,78923,0.73370407,22.06410131,-0.503017536,78923,0.617020032,21.07673965,-0.200139551,78923,-0.599418107,-13.65136791,0.239314864,78923,0.634162389,-14.42932105,0.087948267,78923,2.817340882,-81.92327351,-91.35449743,78923,0.214976367,-15.33005265,2.495189502,78923,0.431590992,-10.59117668,2.682480665,78923,0.42424782,11.67604282,-0.226588502
78929,-2.165317811,10.209449,3.439313977,78929,0.76341548,-14.08011505,0.48550587,78929,0.721193048,22.06043242,-0.511399656,78929,0.595811793,21.05189453,-0.186378251,78929,-0.584700914,-13.62731339,0.258015616,78929,0.61129714,-14.41245838,0.089172575,78929,2.809360618,-81.89625265,-91.31510469,78929,0.188745015,-15.34947962,2.494414778,78929,0.369504438,-10.63616708,2.663872117,78929,0.411671992,11.66454031,-0.219916114
78935,-2.19544418,10.20241842,3.446353021,78935,0.783753182,-14.09076207,0.48327195,78935,0.709174246,22.05668724,-0.517986338,78935,0.589399321,21.03907622,-0.179881879,78935,-0.581610641,-13.61521541,0.273978878,78935,0.586674299,-14.39660234,0.090858666,78935,2.803461899,-81.88327915,-91.29394313,78935,0.180667074,-15.35508956,2.497690645,78935,0.331666158,-10.66441849,2.653052165,78935,0.420984889,11.66234069,-0.213157312
78941,-2.226142124,10.19648732,3.454222721,78941,0.818795867,-14.11308888,0.485547768,78941,0.710143159,22.0635762,-0.524275542,78941,0.582257181,21.0266968,-0.170327734,78941,-0.58020568,-13.60479923,0.289044983,78941,0.557837718,-14.37668306,0.089879097,78941,2.798193354,-81.87120364,-91.2732296,78941,0.174935158,-15.35918207,2.501236256,78941,0.307638704,-10.68279959,2.646644073,78941,0.435755122,11.665364,-0.20466326
78947,-2.227306405,10.19462242,3.462985553,78947,0.853868293,-14.13668114,0.487925163,78947,0.708850043,22.0696575,-0.528082892,78947,0.570307389,21.01679955,-0.16501252,78947,-0.572736708,-13.59552923,0.303501339,78947,0.527493358,-14.35590151,0.091848429,78947,2.794026674,-81.86008643,-91.25199212,78947,0.168467653,-15.36239664,2.505579319,78947,0.282286552,-10.69910171,2.642955987,78947,0.439935565,11.66240158,-0.194554094
78953,-2.222475999,10.20101732,3.471646426,78953,0.861390598,-14.13915374,0.485926377,78953,0.665528031,22.04635064,-0.524329289,78953,0.55764752,21.01061156,-0.157096705,78953,-0.578626292,-13.59789711,0.318416906,78953,0.517143008,-14.34900183,0.093099238,78953,2.79091691,-81.85702879,-91.2388634,78953,0.186636029,-15.34982027,2.514126365,78953,0.26269959,-10.7062457,2.642390982,78953,0.444149846,11.66091867,-0.186045014
78959,-2.206226393,10.20888738,3.481598941,78959,0.854215516,-14.13326668,0.484929498,78959,0.623656689,22.02199543,-0.516499042,78959,0.551549955,21.01424391,-0.158612181,78959,-0.580704258,-13.60135035,0.333024855,78959,0.494186909,-14.33395875,0.101316239,78959,2.787698646,-81.85416448,-91.2256877,78959,0.203701887,-15.33736718,2.521435559,78959,0.247378598,-10.71056022,2.643329779,78959,0.433893905,11.65257693,-0.177939328
78965,-2.191321207,10.21736444,3.491703017,78965,0.845522445,-14.12696328,0.485410974,78965,0.604299028,22.01221094,-0.506389619,78965,0.550247104,21.02605189,-0.1677517,78965,-0.570236274,-13.59892451,0.34726918,78965,0.475299636,-14.32068998,0.115974215,78965,2.784099535,-81.85162611,-91.21231941,78965,0.196878056,-15.34004861,2.522965416,78965,0.23064536,-10.71382488,2.64566892,78965,0.445954146,11.65861477,-0.167819047
