RightHip				LeftShoulder				RightShoulder				LeftKnee				Trunk2Ground				Pelvic				RightKnee				LeftHip				RightAnkle				LeftAnkle				
RightHip_Time	RightHip_Abduction-Adduction	RightHip_Internal-External Rotat	RightHip_Flexion-Extension	LeftShoulder_Time	LeftShoulder_Abduction-Adduction	LeftShoulder_Internal-External Rotat	LeftShoulder_Flexion-Extension	RightShoulder_Time	RightShoulder_Abduction-Adduction	RightShoulder_Internal-External Rotat	RightShoulder_Flexion-Extension	LeftKnee_Time	LeftKnee_Abduction-Adduction	LeftKnee_Internal-External Rotat	LeftKnee_Flexion-Extension	Trunk2Ground_Time	Trunk2Ground_Abduction-Adduction	Trunk2Ground_Internal-External Rotat	Trunk2Ground_Flexion-Extension	Pelvic_Time	Pelvic_Abduction-Adduction	Pelvic_Internal-External Rotat	Pelvic_Flexion-Extension	RightKnee_Time	RightKnee_Abduction-Adduction	RightKnee_Internal-External Rotat	RightKnee_Flexion-Extension	LeftHip_Time	LeftHip_Abduction-Adduction	LeftHip_Internal-External Rotat	LeftHip_Flexion-Extension	RightAnkle_Time	RightAnkle_Abduction-Adduction	RightAnkle_Internal-External Rotat	RightAnkle_Flexion-Extension	LeftAnkle_Time	LeftAnkle_Abduction-Adduction	LeftAnkle_Internal-External Rotat	LeftAnkle_Flexion-Extension	
386701	-1.82835101527355	24.1459685572656	-4.80934658393339	386701	-5.52098523800078	-27.3959565047353	-0.143867268572141	386701	-0.452669681038398	-0.800229625445627	-3.82051060344839	386701	-1.89310234089376	22.5253484794825	-1.84246584228977	386701	-0.331288063722931	-74.4165418251861	-88.7286880310015	386701	-1.99669997213369	-21.7751928734115	3.54909509133689	386701	-0.364682297151779	-12.7104227745223	1.08015980268975	386701	-0.726945038908866	-15.5677520048159	1.65451685441666	386701	-2.02587278380277	18.1628608430786	-1.73214791421543	386701	5.89075113879841	-22.6773069945694	-0.171445333798282	
386707	-1.84276830658374	24.1381696666044	-4.81362978243496	386707	-5.52292175443448	-27.421026036668	-0.160116752872128	386707	-0.466186677241605	-0.80452442806308	-3.82197217549245	386707	-1.85062724378057	22.5497067252139	-1.86277464436294	386707	-0.332435228558883	-74.3973856200599	-88.7185707766005	386707	-2.0003228730588	-21.7902073919871	3.54231900567976	386707	-0.358390833652129	-12.7140405678294	1.08264374254225	386707	-0.783096208472556	-15.5920623799069	1.64758414124514	386707	-2.01661783209701	18.167401293782	-1.7419941363696	386707	5.87980442570276	-22.6666993072635	-0.162887874923024	
386713	-1.85480770964762	24.129111354388	-4.81872765051154	386713	-5.52681740303085	-27.4458994870088	-0.177120546070721	386713	-0.478165640216941	-0.808465802248274	-3.82310367355123	386713	-1.80477959290436	22.5795676695672	-1.88756434200046	386713	-0.332876419316603	-74.3781649012306	-88.7073307217708	386713	-2.00535373477657	-21.8043194002719	3.53554822946416	386713	-0.350901682251472	-12.717150939489	1.08548786660353	386713	-0.83409014140922	-15.6172534471183	1.64089758622454	386713	-2.01501842978481	18.1687613110196	-1.75124372906436	386713	5.86017631464182	-22.6504167329967	-0.150177199786713	
386719	-1.86740941307879	24.118354132909	-4.8225810230368	386719	-5.56156582571502	-27.4770734440447	-0.190364994952131	386719	-0.515905569992296	-0.831834482204775	-3.83046387372215	386719	-1.76003342016515	22.6095220638851	-1.91014053525349	386719	-0.332820042927066	-74.3592300939816	-88.6964921999715	386719	-2.00885870498445	-21.8177725511349	3.5280719680622	386719	-0.352257867432041	-12.7145362765365	1.08456593820632	386719	-0.882617212768207	-15.6424797689095	1.63594377961423	386719	-2.02218656691302	18.1663503143026	-1.75830187112355	386719	5.83880637130326	-22.6333287857657	-0.136683900971783	
386725	-1.88012580564775	24.1079715017719	-4.82662723204956	386725	-5.59464955040506	-27.5075346001347	-0.202735769628477	386725	-0.55116064871161	-0.854152854664561	-3.83316023437735	386725	-1.79929055961832	22.591241818971	-1.89426041280567	386725	-0.329728922910144	-74.3407244268492	-88.68717785899	386725	-2.01078864248223	-21.8312373392499	3.52447941399255	386725	-0.353785308883051	-12.711953679731	1.08240304120363	386725	-0.882732634538165	-15.643974954613	1.64416314106964	386725	-2.03040842499807	18.1636790784215	-1.76451033419941	386725	5.87815066585277	-22.6502786257164	-0.12360605138832	
386731	-1.88822703489654	24.1021210781073	-4.83433366971961	386731	-5.61510525435908	-27.5265989296439	-0.215042299340596	386731	-0.571353332351518	-0.862812254835519	-3.83012575369129	386731	-1.83831030874398	22.5735111110577	-1.87557840896771	386731	-0.327963626093194	-74.3335822949182	-88.690392917556	386731	-1.99863922224583	-21.8329202108434	3.52457739934755	386731	-0.339478195611239	-12.7227661406171	1.08380908498571	386731	-0.882577292069006	-15.6465795488681	1.65514840699668	386731	-2.02577981937468	18.169394213957	-1.77324557952684	386731	5.9039740479044	-22.6597619964814	-0.111764658664183	
386737	-1.89687548265837	24.0968317456769	-4.84112826276455	386737	-5.65280723839719	-27.5501923105045	-0.221106617798685	386737	-0.596483667656051	-0.874934181167505	-3.8264982164718	386737	-1.92946910192492	22.5219477103549	-1.83272496314928	386737	-0.324890268826574	-74.3231433001329	-88.6903407689488	386737	-1.99034468273915	-21.8378776568104	3.52460916183589	386737	-0.325993749824015	-12.7334363208969	1.08534933297964	386737	-0.821800340200249	-15.6168617646887	1.67798389356692	386737	-2.01878068711761	18.1748300358476	-1.78202189510195	386737	5.92628228269564	-22.6689026513179	-0.0985363425129137	
386743	-1.90749818765313	24.0898475457529	-4.84722713180261	386743	-5.66576023589632	-27.5690933448428	-0.23836930784085	386743	-0.620204798857533	-0.88693197508192	-3.82095932481715	386743	-1.98413813417121	22.4877646223709	-1.80641123787547	386743	-0.322158904913908	-74.3127003508812	-88.6902836212605	386743	-1.97923642996061	-21.8409965212943	3.52426903657656	386743	-0.31392092480814	-12.7443488834728	1.08550236288059	386743	-0.772397250279143	-15.5898598473405	1.70098828697202	386743	-2.02424246614875	18.1739637029691	-1.78898795364133	386743	5.91723420177995	-22.6614161331835	-0.0798232974344025	
386749	-1.92966001685926	24.0739049111082	-4.85252415801672	386749	-5.67966510127474	-27.5885300711333	-0.255038906147669	386749	-0.624278401849218	-0.883330847851511	-3.80705943526251	386749	-1.96731816673	22.4917532890117	-1.80773249337405	386749	-0.318942620119802	-74.3019510857959	-88.6893618464286	386749	-1.96950028255274	-21.8446508786081	3.52510156898245	386749	-0.312916750175859	-12.7456227886135	1.08114995975197	386749	-0.797951491474912	-15.5983896106751	1.71436512366633	386749	-2.03138389444765	18.1727018688804	-1.79572647356115	386749	5.92532966431293	-22.6637133290319	-0.0648293589609504	
386755	-1.92697048473131	24.074538357494	-4.85927413553283	386755	-5.67906495209965	-27.594191896248	-0.267340185673771	386755	-0.598202629240283	-0.856365423660123	-3.78305864792324	386755	-1.99421151985367	22.4731240021933	-1.78505011041067	386755	-0.316549369573825	-74.3051753778155	-88.703402371447	386755	-1.96939889833087	-21.8495121307971	3.5237019386394	386755	-0.311894957774984	-12.746882186733	1.07821136240492	386755	-0.796449375229333	-15.5918189213616	1.73045056272585	386755	-2.01901229135809	18.1825065190734	-1.8030578179158	386755	5.98071183623813	-22.6891745773378	-0.0588979681983846	
