RightHip				LeftShoulder				RightShoulder				LeftKnee				Trunk2Ground				Pelvic				RightKnee				LeftHip				RightAnkle				LeftAnkle				
RightHip_Time	RightHip_Abduction-Adduction	RightHip_Internal-External Rotat	RightHip_Flexion-Extension	LeftShoulder_Time	LeftShoulder_Abduction-Adduction	LeftShoulder_Internal-External Rotat	LeftShoulder_Flexion-Extension	RightShoulder_Time	RightShoulder_Abduction-Adduction	RightShoulder_Internal-External Rotat	RightShoulder_Flexion-Extension	LeftKnee_Time	LeftKnee_Abduction-Adduction	LeftKnee_Internal-External Rotat	LeftKnee_Flexion-Extension	Trunk2Ground_Time	Trunk2Ground_Abduction-Adduction	Trunk2Ground_Internal-External Rotat	Trunk2Ground_Flexion-Extension	Pelvic_Time	Pelvic_Abduction-Adduction	Pelvic_Internal-External Rotat	Pelvic_Flexion-Extension	RightKnee_Time	RightKnee_Abduction-Adduction	RightKnee_Internal-External Rotat	RightKnee_Flexion-Extension	LeftHip_Time	LeftHip_Abduction-Adduction	LeftHip_Internal-External Rotat	LeftHip_Flexion-Extension	RightAnkle_Time	RightAnkle_Abduction-Adduction	RightAnkle_Internal-External Rotat	RightAnkle_Flexion-Extension	LeftAnkle_Time	LeftAnkle_Abduction-Adduction	LeftAnkle_Internal-External Rotat	LeftAnkle_Flexion-Extension	
96305	0.129098727620457	19.6969433798631	-1.71012967858966	96305	-0.705141283793565	-8.5840165060223	1.09686238207817	96305	-0.27392186805004	-3.33654000172885	-1.10036753653365	96305	-0.556450525868389	19.1420144967713	-1.13811106747126	96305	0.243754227376387	-73.8674475366398	-90.1014595142369	96305	-0.506515195858738	-20.8798380373442	3.03182707703986	96305	-0.23429897366129	-14.2269476435958	1.5698322717658	96305	0.338764771998031	-19.3228454355792	1.51261419412574	96305	-0.355940415896096	19.559592620521	-0.217185067700775	96305	-0.142824000209984	-21.3868502998473	-1.1703415687267	
96311	0.11397776512372	19.6890232560749	-1.70974495592657	96311	-0.718021483175464	-8.61503052822257	1.09525040043804	96311	-0.280652737567987	-3.35601094162626	-1.10811694505241	96311	-0.504881320504736	19.172006088231	-1.15860411092411	96311	0.243527695880603	-73.8476052346628	-90.0845940058932	96311	-0.523002293844189	-20.9006484362348	3.02721409553621	96311	-0.242870865291212	-14.2224806393289	1.57493071775771	96311	0.310713989622573	-19.3406756324829	1.50765727754903	96311	-0.350516285897886	19.5653355363662	-0.223978848281901	96311	-0.177706222678941	-21.3728153581027	-1.17337118439353	
96317	0.121525531607111	19.6956722259172	-1.71070151392279	96317	-0.735753059332795	-8.6516874829117	1.09186045790309	96317	-0.293432432647994	-3.38129902825959	-1.11976596851035	96317	-0.500096055636699	19.1752107129129	-1.15981286075531	96317	0.243883944601206	-73.8219444061894	-90.0629141478597	96317	-0.552349454577343	-20.9319659855704	3.01943669377425	96317	-0.238833234392871	-14.2277541262563	1.58190270583904	96317	0.338580937694819	-19.3275102084351	1.50461049585625	96317	-0.350904649262186	19.5687492779552	-0.228854786821857	96317	-0.208643520811258	-21.3593625371066	-1.17860589710792	
96323	0.12953766349515	19.7023971129539	-1.70929111283802	96323	-0.765051325079517	-8.6902231792838	1.08877934813181	96323	-0.292851097796487	-3.39556605041764	-1.12839595217695	96323	-0.500083306529807	19.17929648168	-1.16558873724778	96323	0.243524986693219	-73.7960998001978	-90.0419564550164	96323	-0.580704643444286	-20.9635880775547	3.01049185883674	96323	-0.250332404787045	-14.2225800498747	1.58553811821148	96323	0.366938810535768	-19.3152650988673	1.49864402911003	96323	-0.366863363252666	19.5619065672176	-0.231924777049858	96323	-0.236670008262468	-21.3460391332411	-1.18017476938329	
96329	0.150581498927619	19.7173912771297	-1.71209846163309	96329	-0.751393241898426	-8.7235646156645	1.08363399064799	96329	-0.29489814484364	-3.40902654677479	-1.13865880794439	96329	-0.558258444673832	19.150915627635	-1.14759780929734	96329	0.24397305552218	-73.7705294003158	-90.0205427120099	96329	-0.617087651836182	-20.9986205741361	3.00198460957304	96329	-0.255262374892169	-14.221644652718	1.58877059807028	96329	0.40281380431596	-19.2990322856382	1.49301817724233	96329	-0.382023904941883	19.5544271527797	-0.234846131898717	96329	-0.196557231335544	-21.3702063443837	-1.18735301668065	
96335	0.171367946275666	19.7317168738638	-1.71473933200046	96335	-0.706324637510783	-8.72613244125788	1.08765600232201	96335	-0.267159816254927	-3.39027999706696	-1.14149297491366	96335	-0.596910138021139	19.1325851292749	-1.14114790456318	96335	0.242980112174731	-73.7753919199853	-90.0321708206338	96335	-0.619468022082018	-21.0046078725937	3.00170574220401	96335	-0.260768856624111	-14.2203190648102	1.59056867477433	96335	0.417046492443777	-19.2924167641919	1.48521865822535	96335	-0.384724373869024	19.5554199653677	-0.237407650922472	96335	-0.157300562989008	-21.3939850421732	-1.19207682229003	
96341	0.19590753419417	19.7484689061305	-1.71794344488663	96341	-0.663636395430196	-8.72828256191485	1.09215089284411	96341	-0.233917548773717	-3.36599029678545	-1.1416369073776	96341	-0.6340341008784	19.1155592060338	-1.13239119161733	96341	0.241862198658473	-73.7800363343031	-90.0445684894482	96341	-0.624790001572436	-21.0132031964557	3.00005255409679	96341	-0.260511779553903	-14.2221098129251	1.59136057427648	96341	0.432770309072439	-19.2825576035597	1.48028775054438	96341	-0.381993992856084	19.5594312937847	-0.23770409511423	96341	-0.0928518025356552	-21.4279723732161	-1.19667050102811	
96347	0.22660964127399	19.7699837456613	-1.72124716466256	96347	-0.633089730689267	-8.73623739246218	1.09649072326788	96347	-0.209260332815334	-3.34722255011714	-1.14217778894116	96347	-0.623507706215899	19.1240672940791	-1.1426795974264	96347	0.241909198537679	-73.7784817928815	-90.0511216418894	96347	-0.635415621043266	-21.0267414663105	2.99742358675237	96347	-0.248837472989828	-14.2306080916374	1.58844942352572	96347	0.397179247855185	-19.2978856084874	1.46905589405236	96347	-0.383693124672008	19.5601334753028	-0.231938926712041	96347	-0.0296515666814617	-21.46147680819	-1.20436974920721	
96353	0.258847392937304	19.791580760522	-1.72268649645735	96353	-0.605480632209709	-8.74418345707609	1.10022690689458	96353	-0.212755924588694	-3.34480474194136	-1.14156251835838	96353	-0.620715796801318	19.1262134467822	-1.14924703332924	96353	0.242781412871677	-73.7766696787591	-90.0572424898003	96353	-0.646365087300371	-21.0407284307343	2.99505602259505	96353	-0.245809844034076	-14.2304252485562	1.58231877425582	96353	0.364620400568109	-19.3120062834238	1.45553440030608	96353	-0.394960707845185	19.5521746886864	-0.225836730920441	96353	0.0374044634313706	-21.500608329994	-1.2143467623246	
96359	0.246816797161969	19.7842860008642	-1.72127335017256	96359	-0.566467393592996	-8.73902822268149	1.10875268071322	96359	-0.20258504615011	-3.32872795447373	-1.13373117833571	96359	-0.677160874549305	19.0889777075251	-1.12741803001088	96359	0.243743083607966	-73.7879177633414	-90.0771394923794	96359	-0.615063995301657	-21.0264728704076	3.00405560220858	96359	-0.257781678734677	-14.2180542433574	1.57071444632317	96359	0.372146128694245	-19.3037047106616	1.44645884569307	96359	-0.41606922107055	19.5396900143188	-0.219564105662938	96359	0.0862681623927855	-21.5305987502501	-1.22345022369394	
96365	0.236439134290185	19.7775471687651	-1.71967830295704	96365	-0.545962622049981	-8.73520647675093	1.11860029108554	96365	-0.172216950740309	-3.29936708950526	-1.11728285319615	96365	-0.729463056757487	19.0521044215001	-1.11132363125474	96365	0.245000117524641	-73.7994542171862	-90.0965517877749	96365	-0.584868612949559	-21.0120843658953	3.01342459967897	96365	-0.245555902224236	-14.2247839639913	1.56570132426506	96365	0.375208479114468	-19.2947450405525	1.43615931836321	96365	-0.41256407072441	19.5454622600407	-0.213412743234934	96365	0.134779644380504	-21.5603172637871	-1.23051912792869	
96371	0.217452378638917	19.7621601955717	-1.71553436049204	96371	-0.57565976100233	-8.73829726650742	1.14331700545217	96371	-0.14077098146579	-3.27080542387472	-1.09968751698698	96371	-0.819132634689476	18.9711403990797	-1.07931844796956	96371	0.247347897491914	-73.810748209339	-90.1153085895891	96371	-0.559985689066691	-20.9997416040744	3.02184811731954	96371	-0.247506456793754	-14.2204547371635	1.55915605734362	96371	0.461376621607795	-19.2229331943273	1.43322912950928	96371	-0.410036237502513	19.5513170667499	-0.208880236269955	96371	0.14245553004357	-21.5686603145413	-1.23308281614661	
96377	0.196235998408884	19.746546798556	-1.71070842697593	96377	-0.638028332420469	-8.77160105708703	1.15733233185958	96377	-0.140198525816709	-3.27347612515448	-1.0935343838752	96377	-0.902165923488514	18.8933041919539	-1.0501867746403	96377	0.248947330543395	-73.7916162764569	-90.1006737987712	96377	-0.567991879607142	-21.0159264895341	3.02003750849073	96377	-0.253033686707816	-14.2164565220091	1.55606231368956	96377	0.539805130103681	-19.1539912351874	1.43103841805382	96377	-0.401527173894131	19.5610233183157	-0.20700585715025	96377	0.149009985244768	-21.5765202570693	-1.23526312929533	
96383	0.161475117690722	19.7253673682677	-1.70479901482347	96383	-0.696102537164783	-8.80622786140862	1.16952689565496	96383	-0.194091939278644	-3.32035254823634	-1.10062403244054	96383	-0.936309478673091	18.837295890582	-1.04167969984838	96383	0.248075510390295	-73.771722292012	-90.0877394943314	96383	-0.563066390687935	-21.0272982066009	3.0198444559154	96383	-0.262145148762851	-14.2124350893941	1.55629918899712	96383	0.597864723745523	-19.0934869328383	1.42843926780828	96383	-0.392826913376104	19.5704525373582	-0.208229155230124	96383	0.103922750601798	-21.5583596434403	-1.23245353666392	
96389	0.126383834820286	19.7044540480358	-1.69857537106839	96389	-0.732944004707182	-8.83301868186714	1.17666346061719	96389	-0.233027650669153	-3.35840298904634	-1.09694687562492	96389	-0.869602661666241	18.860779743891	-1.07099931153773	96389	0.247006550894609	-73.7603212889354	-90.084977195355	96389	-0.548180507662954	-21.0307725788424	3.0225697214819	96389	-0.270613170969699	-14.2074066179536	1.56189661134428	96389	0.543743918738143	-19.1105747479519	1.42242854512731	96389	-0.40030775240516	19.5667489630493	-0.212908763944594	96389	0.0615579696300829	-21.5403386936126	-1.23086799095209	
96395	0.0924751884920602	19.6835216687727	-1.69574688976883	96395	-0.767573815970157	-8.86032325010912	1.18223381495008	96395	-0.221801054939145	-3.35849728043492	-1.0817132416482	96395	-0.823383076039781	18.8776066566033	-1.09279315969815	96395	0.246638643783075	-73.7487288814459	-90.0816975799434	96395	-0.535113004793303	-21.0342460761458	3.02654276924678	96395	-0.278335661723894	-14.2028408597685	1.56618856282168	96395	0.496037497923252	-19.1280998136578	1.41817238015372	96395	-0.408848621384585	19.5639506259849	-0.218536910883646	96395	0.0342699121935129	-21.5298146317114	-1.22962769171262	
96401	0.0751976943982981	19.6731674067433	-1.69276784558533	96401	-0.798224886894215	-8.88631984957865	1.1883626036328	96401	-0.20668131607107	-3.35782521579395	-1.06709372730077	96401	-0.805057645329385	18.8798484976806	-1.10507305161713	96401	0.245925614117819	-73.7388074547876	-90.0801942755795	96401	-0.52736356050632	-21.0397948859647	3.02801697203262	96401	-0.277454015306801	-14.2051808185574	1.5724196105814	96401	0.482480708448427	-19.1279634824167	1.41618470301792	96401	-0.390175784688839	19.577791831602	-0.223443196321661	96401	0.010493960282563	-21.5190336219795	-1.22550824363031	
96407	0.0601386823065713	19.6630425515571	-1.68839842800805	96407	-0.808765356920812	-8.90856660576785	1.19432139767398	96407	-0.191363196301621	-3.35813553066957	-1.0529453247315	96407	-0.792706099212233	18.8814418296528	-1.11461148589779	96407	0.246594709454782	-73.7288363359178	-90.079689129747	96407	-0.518690996166224	-21.0456299670598	3.03094525439252	96407	-0.283953992555089	-14.2026555602474	1.57634602297447	96407	0.467468826867722	-19.1278980269468	1.4141137138741	96407	-0.382773851683347	19.5868604256358	-0.226709180881846	96407	-0.00481290221134678	-21.5098409890281	-1.22184912067703	
