RightAnkle				LeftShoulder				RightShoulder				RightKnee				LeftKnee				Pelvic				LeftHip				Trunk2Ground				RightHip				LeftAnkle				
RightAnkle_Time	RightAnkle_Abduction-Adduction	RightAnkle_Internal-External Rotat	RightAnkle_Flexion-Extension	LeftShoulder_Time	LeftShoulder_Abduction-Adduction	LeftShoulder_Internal-External Rotat	LeftShoulder_Flexion-Extension	RightShoulder_Time	RightShoulder_Abduction-Adduction	RightShoulder_Internal-External Rotat	RightShoulder_Flexion-Extension	RightKnee_Time	RightKnee_Abduction-Adduction	RightKnee_Internal-External Rotat	RightKnee_Flexion-Extension	LeftKnee_Time	LeftKnee_Abduction-Adduction	LeftKnee_Internal-External Rotat	LeftKnee_Flexion-Extension	Pelvic_Time	Pelvic_Abduction-Adduction	Pelvic_Internal-External Rotat	Pelvic_Flexion-Extension	LeftHip_Time	LeftHip_Abduction-Adduction	LeftHip_Internal-External Rotat	LeftHip_Flexion-Extension	Trunk2Ground_Time	Trunk2Ground_Abduction-Adduction	Trunk2Ground_Internal-External Rotat	Trunk2Ground_Flexion-Extension	RightHip_Time	RightHip_Abduction-Adduction	RightHip_Internal-External Rotat	RightHip_Flexion-Extension	LeftAnkle_Time	LeftAnkle_Abduction-Adduction	LeftAnkle_Internal-External Rotat	LeftAnkle_Flexion-Extension	
168604	-1.55033211247021	34.2823134322331	0.697793831398741	168604	0.80914481408966	-18.5209691870851	1.20590462942148	168604	-0.332019028827178	21.1199485529003	-0.303972580543384	168604	0.486443640369784	-37.8545744606063	1.10379123063473	168604	-0.853810692760098	7.63844926569849	1.63021508989129	168604	0.238810215023771	-6.91691621468442	-3.19314628796741	168604	0.00050358827631985	-2.0278442756751	1.35086792924972	168604	-2.39624777814434	-80.9543735536168	-88.7197336814402	168604	0.394891593325837	35.0948572505688	1.45397421928192	168604	-0.111995990966589	-13.2396122778584	0.466379568219582	
168610	-1.55579895450162	34.2794554808596	0.684817166419752	168610	0.797596217500889	-18.5455306214256	1.21994986355125	168610	-0.367970367062984	21.0612805397748	-0.303540132088444	168610	0.489027505292197	-37.8673137456193	1.09688433981381	168610	-0.76934484334495	7.70333647182391	1.62291466622936	168610	0.225554168478802	-6.9312402091028	-3.18799822328737	168610	-0.0591996940408653	-2.07725203092226	1.3401919896863	168610	-2.38235809354053	-80.9451947555208	-88.7032117200727	168610	0.383273616248443	35.1087627990925	1.43782470926874	168610	-0.148501675419652	-13.2206303253479	0.450726372268653	
168616	-1.56193784786608	34.2759729980495	0.674093896012613	168616	0.787528813447461	-18.5694807308466	1.23364134584217	168616	-0.358018517563047	21.0302049443479	-0.297046659791807	168616	0.49389001450204	-37.8789263027419	1.09037410912308	168616	-0.718501653384247	7.7467582596219	1.60852476491965	168616	0.211802713531885	-6.94579517306717	-3.18450382125531	168616	-0.0906576023582996	-2.10448430621006	1.32840459267507	168616	-2.36924505616232	-80.93620498316	-88.6880719802715	168616	0.375296445477396	35.1227138678944	1.42378973258576	168616	-0.179617987667699	-13.2028760162599	0.443008558559723	
168622	-1.55002140688511	34.2839082853825	0.666391746365144	168622	0.785402857049639	-18.584088356378	1.24810308076271	168622	-0.341240118814542	21.0075229542911	-0.289731502033881	168622	0.51538130560061	-37.9036792146459	1.09661295062035	168622	-0.674472229704157	7.78820599350973	1.59671233761926	168622	0.209496297353368	-6.94836292400314	-3.17928162724443	168622	-0.124103579428111	-2.13293590204684	1.32574778653015	168622	-2.3563114217012	-80.9363665774758	-88.6811948577411	168622	0.377695460593269	35.1431936832224	1.4118197376794	168622	-0.20743915314447	-13.1857563761511	0.442366448189847	
168628	-1.54191029396879	34.2883374923525	0.663130914607406	168628	0.757642291285649	-18.6028244092199	1.2693120221726	168628	-0.324088864233168	20.9841316991545	-0.282228045270751	168628	0.536581600280339	-37.9274576491318	1.10165024275556	168628	-0.691294774302172	7.79564382699972	1.584983484719	168628	0.206374631267269	-6.9509813581989	-3.17216619789022	168628	-0.117604521811036	-2.13978678849899	1.33247318723899	168628	-2.34343039696434	-80.936657653035	-88.6744996757313	168628	0.380242114836715	35.1634240971885	1.39952378450361	168628	-0.219717147748291	-13.1794100833863	0.452406332425529	
168634	-1.54349673605386	34.2885551234098	0.661763607934716	168634	0.74898620500751	-18.6179647202992	1.28179479995707	168634	-0.355233429376478	20.9304040513183	-0.281847683531117	168634	0.551002859354359	-37.9461672541454	1.10061857593203	168634	-0.705705470769005	7.80204926998333	1.57184853290931	168634	0.195725568190922	-6.95866586756035	-3.16581867583974	168634	-0.10022978707495	-2.14062782201692	1.34428880551863	168634	-2.33071489086265	-80.9374111376237	-88.6697558052004	168634	0.392456129107882	35.1883112437777	1.38943259544776	168634	-0.236405281737984	-13.1737590974052	0.467009456299855	
168640	-1.54645363070052	34.2890894302306	0.663054147842155	168640	0.726123498496511	-18.6431493943444	1.29044761849091	168640	-0.397716602887863	20.8655052336487	-0.283555987823886	168640	0.554681319687872	-37.9551446368844	1.08965230869497	168640	-0.713249670662603	7.81405768450599	1.56321812059017	168640	0.172335978756443	-6.9773248981759	-3.16142874243306	168640	-0.0841468982857871	-2.14204294777525	1.3622512850955	168640	-2.31798354438991	-80.927060973486	-88.6515627101816	168640	0.391194499782397	35.2030694015343	1.38058184721756	168640	-0.242432409470343	-13.1727430398785	0.486509266370169	
168646	-1.55387470993663	34.288812258825	0.666462255937051	168646	0.701880710606972	-18.6681344951233	1.29828056034188	168646	-0.42218984139572	20.8085454788183	-0.28452435972698	168646	0.546622291610698	-37.9565595821466	1.07127015338682	168646	-0.685673014335601	7.84931176289652	1.56162667828765	168646	0.147949199076055	-6.99560694535407	-3.15664808580682	168646	-0.105205909795753	-2.1687293986062	1.38544329191322	168646	-2.30523956318926	-80.916883130285	-88.6333292201922	168646	0.385243563871316	35.2130609364988	1.37477687842258	168646	-0.243750509748937	-13.1723303457441	0.502726975349749	
168652	-1.56155952267022	34.2888847828931	0.670141946545738	168652	0.687326414345354	-18.6897694816239	1.30313701295517	168652	-0.446085399717467	20.7492469724295	-0.285933316555018	168652	0.539732956163526	-37.9581577950591	1.05415992833745	168652	-0.656966790987714	7.88522119627264	1.55944849861935	168652	0.130687247288632	-7.01034408361141	-3.15047621280022	168652	-0.132820367532163	-2.20046281223616	1.41291890329407	168652	-2.29322053529551	-80.9048382885207	-88.6149272265208	168652	0.373397284520574	35.2175437480744	1.36741003228434	168652	-0.253132325971757	-13.1675891983093	0.521312617193696	
168658	-1.57274859815979	34.2870163564748	0.671093348026857	168658	0.676065168949161	-18.7113429028573	1.30668997467131	168658	-0.473708575724092	20.6859447021676	-0.287855788803078	168658	0.532531843012278	-37.9589437660403	1.03871010025562	168658	-0.808334652341993	7.77218422054218	1.57020548305938	168658	0.115987749675743	-7.02445798920488	-3.14460100427023	168658	0.0158160915787335	-2.07954128036842	1.44732450572412	168658	-2.28205009683832	-80.8929529509762	-88.5984357349875	168658	0.362642217900443	35.2206578649974	1.35902158974911	168658	-0.26136142062135	-13.1654283328924	0.539161135709117	
