LeftThigh	-0.326096784393003,-0.604803442721224,0.532168994297324,0.494641184806824
RightThigh	-0.457433445354374,0.498227186955494,-0.473593322880214,0.564122021198273
RightFoot	0.0350869988755284,-0.945256304585961,-0.308793110616859,0.0995303764939308
LeftShank	-0.424537154608936,-0.650277236167804,0.50050621609139,0.382624357938766
LeftFoot	-0.119207594168378,-0.94064901487919,-0.314903953302856,0.0424791052937508
RightHumerus	-0.661191252378308,0.493576045737068,-0.331473502430033,0.457530647516251
Trunk	0.582114192576721,-0.00387114697059929,-0.145599071282803,0.799955666065216
LeftHumerus	-0.438288409328941,-0.423251164921125,0.593044260395573,0.526365041732788
Pelvic	0.80134426287908,-0.0615799223318512,-0.085411715139079,0.58886331319809
RightShank	-0.419809433628677,0.406511419862105,-0.517274886030423,0.625248193740845
