RightShank	-0.563339405524587,0.582696318665759,-0.352105133613496,0.468119293451309
RightThigh	-0.488199974057509,0.605294384725946,-0.37674851875629,0.50332897901535
RightHumerus	-0.617419648073781,0.491143661900205,-0.413999866686954,0.454064816236496
LeftShank	-0.405039232766552,-0.601447330497635,0.511040637550417,0.461564391851425
LeftHumerus	-0.426493614529551,-0.463104537067866,0.581238849707119,0.515556871891022
LeftFoot	-0.18450092772341,-0.940450992521005,-0.285273469939203,-0.0114218136295676
LeftThigh	-0.26659190586476,-0.528856815903817,0.608491570332769,0.528183043003082
Pelvic	0.770726255632386,-0.0656566219750865,-0.0821471613165858,0.628428220748902
RightFoot	-0.0490911667184194,-0.951078879297117,-0.290503397289601,0.0929875895380974
Trunk	0.598888104499563,0.013909582030132,-0.155371447132611,0.785493075847626
