RightHumerus	-0.63171131071179,0.453083126264381,-0.406633721332811,0.47990158200264
Pelvic	0.703718205117306,-0.106349145049241,-0.107871484482147,0.694142758846283
Trunk	0.583461212210282,0.022621580968188,-0.218166953642633,0.781961917877197
LeftThigh	-0.148429220575522,-0.428065934294526,0.625330653814053,0.635366022586823
LeftHumerus	-0.27758972611855,-0.353340237922651,0.685381654882739,0.573015213012696
LeftFoot	0.0492196888571101,-0.938870454070194,-0.337117013631697,0.049514401704073
LeftShank	-0.334460230364081,-0.571739131477756,0.557074895054765,0.500917315483094
RightFoot	0.0331984930463501,-0.936967002534154,-0.318163582236086,0.140579581260681
RightThigh	-0.461155760371499,0.509403966139157,-0.411954438903241,0.598445057868958
RightShank	-0.442178078097147,0.409704227005118,-0.528070635766326,0.598132491111755
